Time,Signal,Price
2025-05-26T22:40:00.000Z,SHORT,109349.5
2025-05-27T04:55:00.000Z,SHORT,108895.7
2025-05-27T06:55:00.000Z,SHORT,108780.6
2025-05-28T06:00:00.000Z,SHORT,108836.7
2025-05-28T08:05:00.000Z,SHORT,108817.7
2025-05-28T09:10:00.000Z,SHORT,108723.9
2025-05-28T12:50:00.000Z,SHORT,108766.3
2025-05-28T18:30:00.000Z,SHORT,107466.8
2025-05-28T19:05:00.000Z,SHORT,107665.1
2025-05-28T19:20:00.000Z,SHORT,107498.1
2025-05-28T22:10:00.000Z,SHORT,107270
2025-05-29T22:20:00.000Z,SHORT,106268.1
2025-05-30T03:10:00.000Z,SHORT,105956.4
2025-05-30T03:45:00.000Z,SHORT,106027.4
2025-05-30T04:45:00.000Z,SHORT,106032
2025-05-30T19:40:00.000Z,SHORT,104595.7
2025-05-30T21:45:00.000Z,SHORT,104610.2
2025-05-31T05:25:00.000Z,SHORT,103635.1
2025-06-02T08:45:00.000Z,SHORT,105403.5
2025-06-02T14:55:00.000Z,SHORT,104129.6
2025-06-02T16:15:00.000Z,SHORT,104228.5
2025-06-02T18:40:00.000Z,SHORT,104335.1
2025-06-02T19:20:00.000Z,SHORT,104395.7
2025-06-03T11:15:00.000Z,SHORT,105209.5
2025-06-03T12:00:00.000Z,SHORT,105258.2
2025-06-03T12:40:00.000Z,SHORT,105226.8
2025-06-03T13:30:00.000Z,SHORT,105127.8
2025-06-04T02:35:00.000Z,SHORT,105449.3
2025-06-04T09:05:00.000Z,SHORT,105307.6
2025-06-04T10:35:00.000Z,SHORT,105684.7
2025-06-04T16:10:00.000Z,SHORT,105200
2025-06-04T17:00:00.000Z,SHORT,105316.1
2025-06-05T01:35:00.000Z,SHORT,104780.7
2025-06-05T02:15:00.000Z,SHORT,104890.9
2025-06-05T23:55:00.000Z,SHORT,101458.6
2025-06-06T01:50:00.000Z,SHORT,101755.6
2025-06-06T02:40:00.000Z,SHORT,101850
2025-06-08T05:15:00.000Z,SHORT,105484.3
2025-06-08T05:35:00.000Z,SHORT,105444.4
2025-06-08T12:20:00.000Z,SHORT,105550.1
2025-06-08T13:55:00.000Z,SHORT,105558.8
2025-06-09T07:25:00.000Z,SHORT,105467.7
2025-06-09T07:40:00.000Z,SHORT,105523.6
2025-06-09T08:20:00.000Z,SHORT,105481.9
2025-06-10T02:45:00.000Z,LONG,109594.9
2025-06-10T03:45:00.000Z,LONG,109510.5
2025-06-12T01:10:00.000Z,SHORT,108526.9
2025-06-12T15:20:00.000Z,SHORT,107330
2025-06-13T04:15:00.000Z,SHORT,103881.6
2025-06-13T05:25:00.000Z,SHORT,104271.7
2025-06-14T19:50:00.000Z,SHORT,104686.7
2025-06-16T00:15:00.000Z,SHORT,105354.6
2025-06-17T04:20:00.000Z,SHORT,107498.1
2025-06-17T20:00:00.000Z,SHORT,104678.5
2025-06-17T22:30:00.000Z,SHORT,104434.4
2025-06-19T18:30:00.000Z,SHORT,104399
2025-06-20T21:10:00.000Z,SHORT,103488
2025-06-21T02:25:00.000Z,SHORT,103329.9
2025-06-21T03:45:00.000Z,SHORT,103562.3
2025-06-22T01:15:00.000Z,SHORT,102525.4
2025-06-22T13:00:00.000Z,SHORT,102646.8
2025-06-22T21:55:00.000Z,SHORT,99136
2025-06-24T10:25:00.000Z,SHORT,105108.8
2025-06-24T11:10:00.000Z,SHORT,105125.5
2025-06-24T15:35:00.000Z,SHORT,105359.9
2025-06-24T16:00:00.000Z,SHORT,105377.7
2025-06-24T17:25:00.000Z,SHORT,105607.1
2025-06-24T18:00:00.000Z,SHORT,105834.9
2025-06-24T21:40:00.000Z,SHORT,105850.1
2025-06-24T21:55:00.000Z,SHORT,105930.6
2025-06-25T00:35:00.000Z,SHORT,105843.4
2025-06-25T01:20:00.000Z,SHORT,106009
2025-06-25T02:40:00.000Z,SHORT,106466.1
2025-06-25T08:15:00.000Z,SHORT,106470.1
2025-06-25T08:55:00.000Z,SHORT,106599.9
2025-06-25T09:40:00.000Z,SHORT,106462.1
2025-06-25T20:00:00.000Z,SHORT,107481.2
2025-06-25T21:10:00.000Z,SHORT,107520.9
2025-06-27T06:50:00.000Z,LONG,107332.9
2025-06-28T00:35:00.000Z,LONG,106939.7
2025-06-28T01:45:00.000Z,LONG,106970.3
2025-06-28T10:15:00.000Z,LONG,107254.4
2025-06-28T11:20:00.000Z,LONG,107245.1
2025-06-29T14:10:00.000Z,LONG,108164.2
2025-06-29T15:35:00.000Z,LONG,107871.5
2025-07-02T12:55:00.000Z,LONG,107333.1
2025-07-02T21:35:00.000Z,LONG,109280.1
2025-07-03T00:05:00.000Z,LONG,108944.2
2025-07-03T00:25:00.000Z,LONG,108834.1
2025-07-05T02:40:00.000Z,LONG,107913
2025-07-05T09:40:00.000Z,LONG,107908.8
2025-07-05T16:55:00.000Z,LONG,108059.3
2025-07-05T19:25:00.000Z,LONG,107999.6
2025-07-06T04:00:00.000Z,LONG,108041.3
2025-07-06T06:00:00.000Z,LONG,107925.1
2025-07-06T19:50:00.000Z,LONG,108418.2
2025-07-07T01:30:00.000Z,LONG,108980
2025-07-08T16:20:00.000Z,LONG,108320
2025-07-08T21:30:00.000Z,LONG,108747.3
2025-07-09T15:20:00.000Z,LONG,108950.1
2025-07-10T01:30:00.000Z,LONG,111108.2
2025-07-10T04:30:00.000Z,LONG,111058.1
2025-07-10T05:05:00.000Z,LONG,110951.1
2025-07-10T05:50:00.000Z,LONG,111003.4
2025-07-13T10:05:00.000Z,LONG,117810.3
2025-07-13T11:00:00.000Z,LONG,117784.2
2025-07-13T17:35:00.000Z,LONG,118703.2
2025-07-13T22:35:00.000Z,LONG,118644.2
2025-07-14T10:35:00.000Z,LONG,122117.7
2025-07-14T12:00:00.000Z,LONG,121642.9
2025-07-14T13:45:00.000Z,LONG,121894.9
2025-07-15T19:10:00.000Z,LONG,117067.3
2025-07-15T20:30:00.000Z,LONG,116592
2025-07-16T03:05:00.000Z,LONG,117321.5
2025-07-16T13:30:00.000Z,LONG,118895.7
2025-07-16T14:40:00.000Z,LONG,118608.8
2025-07-16T20:15:00.000Z,LONG,119241.5
2025-07-17T20:45:00.000Z,LONG,119218.6
2025-07-18T00:25:00.000Z,LONG,119482
2025-07-19T09:05:00.000Z,LONG,118118.9
2025-07-19T13:15:00.000Z,LONG,118256.1
